"1000,/regwiz"	{"10101": 1}
"1061,/promo"	{"10058": 1}
"1062,/msaccess"	{"17388": 1}
"1063,/intranet"	{"10396": 1}
"1064,/activeplatform"	{"41444": 1}
"1065,/java"	{"10068": 1}
"1066,/musicproducer"	{"10068": 1}
"1067,/frontpage"	{"33074": 1}
"1068,/vbscript"	{"10710": 1}
"1069,/windowsce"	{"12625": 1}
"1070,/activex"	{"14654": 1}
"1071,/automap"	{"16294": 1}
"1072,/vinterdev"	{"10166": 1}
"1073,/taiwan"	{"15809": 1}
"1074,/ntworkstation"	{"17715": 1}
"1075,/jobs"	{"38778": 1}
"1076,/ntwkssupport"	{"10342": 1}
"1077,/msofficesupport"	{"27695": 1}
"1078,/ntserversupport"	{"10122": 1}
"1079,/australia"	{"39277": 1}
"1080,/brasil"	{"10291": 1}
"1081,/accessdev"	{"35389": 1}
"1082,/access"	{"10127": 1}
"1083,/msaccesssupport"	{"11558": 1}
"1084,/uk"	{"10271": 1}
"1085,/exchangesupport"	{"31314": 1}
"1086,/oem"	{"16900": 1}
"1087,/proxy"	{"23642": 1}
"1088,/outlook"	{"41300": 1}
"1089,/officereference"	{"10910": 1}
"1090,/gamessupport"	{"40310": 1}
"1091,/hwdev"	{"10335": 1}
"1092,/vfoxpro"	{"26397": 1}
"1093,/vba"	{"10156": 1}
"1094,/mshome"	{"10156": 1}
"1095,/catalog"	{"20022": 1}
"1096,/mspress"	{"10187": 1}
"1097,/latam"	{"28843": 1}
"1098,/devonly"	{"10771": 1}
"1099,/cio"	{"11532": 1}
"1100,/education"	{"30518": 1}
"1101,/oledb"	{"20067": 1}
"1102,/homeessentials"	{"32208": 1}
"1103,/works"	{"10168": 1}
"1104,/hk"	{"10191": 1}
"1105,/france"	{"23621": 1}
"1106,/cze"	{"10504": 1}
"1107,/slovakia"	{"10198": 1}
"1108,/teammanager"	{"15956": 1}
"1109,/technet"	{"20217": 1}
"1110,/mastering"	{"10208": 1}
"1111,/ssafe"	{"36588": 1}
"1112,/canada"	{"10373": 1}
"1113,/security"	{"39429": 1}
"1114,/servad"	{"10660": 1}
"1115,/hun"	{"15045": 1}
"1116,/switzerland"	{"10225": 1}
"1117,/sidewinder"	{"10228": 1}
"1118,/sql"	{"15675": 1}
"1119,/corpinfo"	{"23032": 1}
"1120,/switch"	{"10241": 1}
"1121,/magazine"	{"10241": 1}
"1122,/mindshare"	{"26476": 1}
"1123,/germany"	{"23002": 1}
"1124,/industry"	{"20716": 1}
"1125,/imagecomposer"	{"10269": 1}
"1126,/mediamanager"	{"13180": 1}
"1127,/netshow"	{"24633": 1}
"1128,/msf"	{"10286": 1}
"1129,/ado"	{"10290": 1}
"1130,/syspro"	{"29241": 1}
"1131,/moneyzone"	{"10752": 1}
"1132,/msmoneysupport"	{"10316": 1}
"1133,/frontpagesupport"	{"24638": 1}
"1134,/backoffice"	{"13751": 1}
"1135,/mswordsupport"	{"10339": 1}
"1136,/usa"	{"17398": 1}
"1137,/mscorp"	{"10707": 1}
"1138,/mind"	{"10351": 1}
"1139,/k-12"	{"10362": 1}
"1140,/netherlands"	{"19785": 1}
"1141,/europe"	{"10788": 1}
"1142,/southafrica"	{"10372": 1}
"1143,/workshoop"	{"11947": 1}
"1144,/devnews"	{"28485": 1}
"1145,/vfoxprosupport"	{"37295": 1}
"1146,/msp"	{"23543": 1}
"1147,/msft"	{"11463": 1}
"1148,/channel_resources"	{"16024": 1}
"1149,/adc"	{"10471": 1}
"1150,/infoserv"	{"29886": 1}
"1151,/mspowerpointsupport"	{"13501": 1}
"1152,/rus"	{"22170": 1}
"1153,/venezuela"	{"10500": 1}
"1154,/project"	{"20517": 1}
"1155,/sidewalk"	{"10606": 1}
"1156,/powered"	{"13768": 1}
"1157,/win32dev"	{"10627": 1}
"1158,/imedia"	{"10632": 1}
"1159,/transaction"	{"10661": 1}
"1160,/visualcsupport"	{"12523": 1}
"1161,/workssupport"	{"10677": 1}
"1162,/infoservsupport"	{"35733": 1}
"1163,/opentype"	{"16744": 1}
"1164,/smsmgmt"	{"33791": 1}
"1165,/poland"	{"36807": 1}
"1166,/mexico"	{"31311": 1}
"1167,/hwtest"	{"37949": 1}
"1168,/salesinfo"	{"24849": 1}
"1169,/msproject"	{"40294": 1}
"1170,/mail"	{"26259": 1}
"1171,/merchant"	{"30291": 1}
"1172,/belgium"	{"32442": 1}
"1173,/moli"	{"10842": 1}
"1174,/nz"	{"40040": 1}
"1175,/msprojectsupport"	{"41737": 1}
"1176,/jscript"	{"11601": 1}
"1177,/events"	{"18610": 1}
"1178,/msdownload."	{"31500": 1}
"1179,/colombia"	{"39484": 1}
"1180,/slovenija"	{"11035": 1}
"1181,/kidssupport"	{"16739": 1}
"1182,/fortran"	{"21155": 1}
"1183,/italy"	{"30224": 1}
"1184,/msexcelsupport"	{"21319": 1}
"1185,/sna"	{"36230": 1}
"1186,/college"	{"25843": 1}
"1187,/odbc"	{"25482": 1}
"1188,/korea"	{"41264": 1}
"1189,/internet"	{"15663": 1}
"1190,/repository"	{"34786": 1}
"1191,/management"	{"41812": 1}
"1192,/visualjsupport"	{"38976": 1}
"1193,/offdevsupport"	{"11367": 1}
"1194,/china"	{"39929": 1}
"1195,/portugal"	{"40069": 1}
"1196,/ie40"	{"11431": 1}
"1197,/sqlsupport"	{"26643": 1}
"1198,/pictureit"	{"14963": 1}
"1199,/feedback"	{"11644": 1}
"1200,/benelux"	{"21889": 1}
"1201,/hardware"	{"18443": 1}
"1202,/advtech"	{"41172": 1}
"1203,/danmark"	{"16143": 1}
"1204,/msscheduleplus"	{"20369": 1}
"1205,/hardwaresupport"	{"21585": 1}
"1206,/select"	{"25044": 1}
"1207,/icp"	{"38028": 1}
"1208,/israel"	{"22575": 1}
"1209,/turkey"	{"34593": 1}
"1210,/snasupport"	{"20598": 1}
"1211,/smsmgmtsupport"	{"13604": 1}
"1212,/worldwide"	{"14282": 1}
"1213,/corporate_solutions"	{"12472": 1}
"1214,/finserv"	{"31934": 1}
"1215,/developer"	{"13999": 1}
"1216,/vrml"	{"24553": 1}
"1217,/ireland"	{"23019": 1}
"1218,/publishersupport"	{"15722": 1}
"1219,/ads"	{"14961": 1}
"1220,/macofficesupport"	{"18381": 1}
"1221,/mstv"	{"25564": 1}
"1222,/msofc"	{"23690": 1}
"1223,/finland"	{"30442": 1}
"1224,/atec"	{"19635": 1}
"1225,/piracy"	{"35471": 1}
"1226,/msschedplussupport"	{"35318": 1}
"1227,/argentina"	{"29302": 1}
"1228,/vtest"	{"21509": 1}
"1229,/uruguay"	{"18576": 1}
"1230,/mailsupport"	{"33064": 1}
"1231,/win32devsupport"	{"40016": 1}
"1232,/standards"	{"37637": 1}
"1233,/vbscripts"	{"14363": 1}
"1234,/off97cat"	{"28051": 1}
"1235,/onlineeval"	{"29988": 1}
"1236,/globaldev"	{"14738": 1}
"1237,/devdays"	{"32583": 1}
"1238,/exceldev"	{"20545": 1}
"1239,/msconsult"	{"27183": 1}
"1240,/thailand"	{"38397": 1}
"1241,/india"	{"15820": 1}
"1242,/msgarden"	{"28575": 1}
"1243,/usability"	{"22650": 1}
"1244,/devwire"	{"41835": 1}
"1245,/ofc"	{"31934": 1}
"1246,/gamesdev"	{"37313": 1}
"1247,/wineguide"	{"29060": 1}
"1248,/softimage"	{"18347": 1}
"1249,/fortransupport"	{"41914": 1}
"1250,/middleeast"	{"21387": 1}
"1251,/referencesupport"	{"21158": 1}
"1252,/giving"	{"37561": 1}
"1253,/worddev"	{"31926": 1}
"1254,/ie3"	{"20190": 1}
"1255,/msmq"	{"20277": 1}
"1256,/sia"	{"20832": 1}
"1257,/devvideos"	{"39883": 1}
"1258,/peru"	{"28356": 1}
"1259,/controls"	{"21424": 1}
"1260,/trial"	{"21894": 1}
"1261,/diyguide"	{"36145": 1}
"1262,/chile"	{"35732": 1}
"1263,/services"	{"27503": 1}
"1264,/se_partners"	{"31613": 1}
"1265,/ssafesupport"	{"26811": 1}
"1266,/licenses"	{"26815": 1}
"1267,/caribbean"	{"28325": 1}
"1268,/javascript"	{"27503": 1}
"1269,/business"	{"41054": 1}
"1270,/developr"	{"28493": 1}
"1271,/mdsn"	{"28493": 1}
"1272,/softlib"	{"28493": 1}
"1273,/mdn"	{"28493": 1}
"1274,/pdc"	{"28493": 1}
"1275,/security."	{"28903": 1}
"1276,/vtestsupport"	{"40810": 1}
"1277,/stream"	{"30111": 1}
"1278,/hed"	{"41317": 1}
"1279,/msgolf"	{"31062": 1}
"1280,/music"	{"41643": 1}
"1281,/intellimouse"	{"37099": 1}
"1282,/home"	{"41244": 1}
"1283,/cinemania"	{"41033": 1}
"1284,/partner"	{"41108": 1}
"1295,/train_cert"	{"17586": 1}
